City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Gouyave,GD,12.1646,-61.7296,81.37,74,20,13.8,few clouds
310,Bontang,ID,0.1333,117.5,76.28,91,30,6.55,scattered clouds
311,Scarborough,GB,54.2797,-0.4044,69.37,74,99,5.99,overcast clouds
312,Carutapera,BR,-1.195,-46.02,77.16,85,90,5.82,overcast clouds
313,Sitka,US,57.0531,-135.33,55.67,96,100,4.36,light rain
314,Santa Ines,BR,-3.6667,-45.38,78.58,58,84,1.72,broken clouds
315,Solnechnyy,RU,50.7214,136.6319,69.28,67,17,3.42,few clouds
316,Emba,KZ,48.8264,58.1442,73.11,47,98,5.23,light rain
317,Mildura,AU,-34.2,142.15,51.08,93,0,9.35,clear sky
318,Lilongwe,MW,-13.9669,33.7873,59.2,88,0,5.75,clear sky
319,Wenatchee,US,47.4235,-120.3103,96.04,20,1,3.0,clear sky
320,Aykhal,RU,66.0,111.5,65.08,71,35,17.07,scattered clouds
321,Jiazi,CN,22.8779,116.067,83.98,82,20,7.9,few clouds
322,Le Mars,US,42.7942,-96.1656,94.57,52,0,13.8,clear sky
323,Gushikawa,JP,26.3544,127.8686,83.77,81,13,6.8,few clouds
324,Cozumel,MX,20.5083,-86.9458,77.0,87,100,11.01,overcast clouds
325,Gravdal,NO,68.1214,13.5031,52.47,77,58,6.91,broken clouds
326,Exaplatanos,GR,40.9772,22.125,84.22,32,0,4.03,clear sky
327,Xining,CN,36.6167,101.7667,54.09,61,0,3.13,clear sky
328,Manyoni,TZ,-5.7467,34.8382,59.22,72,1,5.75,clear sky
329,Ust-Kuyga,RU,70.0167,135.6,66.74,60,33,1.68,scattered clouds
330,Sola,VU,-13.8833,167.55,80.31,77,13,11.7,few clouds
331,Antalaha,MG,-14.9003,50.2788,68.32,80,63,6.67,light rain
332,Sault Sainte Marie,CA,46.5168,-84.3333,74.41,58,100,4.88,overcast clouds
333,Ihosy,MG,-22.4,46.1167,57.83,92,58,5.03,broken clouds
334,Kosmynino,RU,57.5818,40.7643,60.28,78,0,4.41,clear sky
335,Ossora,RU,59.2353,163.0719,57.58,60,5,11.56,clear sky
336,Melo,UY,-32.3667,-54.1833,61.18,97,39,6.6,scattered clouds
337,Broken Hill,AU,-31.95,141.4333,55.78,72,2,9.95,clear sky
338,Cap-Chat,CA,49.1001,-66.6821,68.09,81,36,9.89,scattered clouds
339,San Vicente,AR,-26.6167,-54.1333,63.73,74,97,3.13,overcast clouds
340,Tabuk,PH,17.4189,121.4443,78.39,86,99,1.59,overcast clouds
341,Souillac,MU,-20.5167,57.5167,69.48,73,66,14.43,broken clouds
342,Taoudenni,ML,22.6783,-3.9836,99.61,8,0,14.83,clear sky
343,Santa Cruz De Tenerife,ES,28.4682,-16.2546,85.87,44,23,5.75,few clouds
344,Hualmay,PE,-11.0964,-77.6139,62.33,83,29,8.41,scattered clouds
345,Hobyo,SO,5.3505,48.5268,75.52,85,34,26.91,scattered clouds
346,North Bend,US,43.4065,-124.2243,76.91,85,0,3.0,clear sky
