City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Hasaki,JP,81.28,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
435,Jingdezhen,CN,79.56,few clouds,29.2947,117.2079,Garden Hotel
438,Winslow,US,82.58,broken clouds,35.0242,-110.6974,Best Western Plus Winslow Inn
443,Umm Lajj,SA,86.4,overcast clouds,25.0213,37.2685,Moon light Furnished Units
450,Nalut,LY,81.7,clear sky,30.3333,10.85,
452,Benghazi,LY,80.55,clear sky,32.1167,20.0667,Tibesti Hotel
466,Pozo Colorado,PY,78.66,scattered clouds,-23.4923,-58.7972,Hospedaje La Norteña
469,Portland,US,84.45,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
470,Eyl,SO,76.69,overcast clouds,7.9803,49.8164,Amiin Hotel
472,High Level,CA,79.41,overcast clouds,58.5169,-117.136,Days Inn by Wyndham High Level
473,Dzaoudzi,YT,75.06,scattered clouds,-12.7887,45.2699,Le Rocher
478,Sorong,ID,77.5,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
479,Goure,NE,82.02,overcast clouds,13.9835,10.2704,
485,Tottori,JP,76.55,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
487,Fort Wellington,GY,77.77,broken clouds,6.4,-57.6,TE'AMO Entertainment Park
489,Mahina,PF,83.97,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
493,Itarema,BR,79.32,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
495,Calawag,PH,79.2,moderate rain,10.6697,119.5707,
496,Dong Hoi,VN,78.82,clear sky,17.4833,106.6,Nam Long Hotel
497,Coahuayana,MX,87.08,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
499,Arenal,CO,78.24,scattered clouds,8.4593,-73.9433,Hotel Azteca
500,Port-Gentil,GA,75.16,overcast clouds,-0.7193,8.7815,Fengshui Residence
501,Muli,MV,82.83,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
503,Bathsheba,BB,80.71,clear sky,13.2167,-59.5167,Atlantis Hotel
